[ 2025-07-15 09:04:03,798 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-07-15 09:04:08,045 ] 19 root - INFO - Initiate the data ingestion
[ 2025-07-15 09:04:10,017 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-15 09:04:10,018 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-15 09:04:10,018 ] 74 root - INFO - Exporting train and test file path.
[ 2025-07-15 09:04:10,081 ] 83 root - INFO - Exported train and test file path.
[ 2025-07-15 09:04:10,081 ] 21 root - INFO - Data Initiation completed
[ 2025-07-15 09:04:10,083 ] 25 root - INFO - Initiate the data validation
[ 2025-07-15 09:04:10,106 ] 34 root - INFO - Required number of columns:2
[ 2025-07-15 09:04:10,106 ] 35 root - INFO - Data frame has columns:31
[ 2025-07-15 09:04:10,106 ] 34 root - INFO - Required number of columns:2
[ 2025-07-15 09:04:10,106 ] 35 root - INFO - Data frame has columns:31
[ 2025-07-15 09:04:10,248 ] 28 root - INFO - Data Validation complete
[ 2025-07-15 09:04:10,248 ] 30 root - INFO - data transformation started
[ 2025-07-15 09:04:10,248 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-15 09:04:10,248 ] 65 root - INFO - Starting data transformation
[ 2025-07-15 09:04:10,267 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-15 09:04:10,267 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-15 09:04:10,275 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 09:04:10,280 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 09:04:10,280 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 09:04:10,288 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 09:04:10,289 ] 34 root - INFO - data transformation completed
