[ 2025-07-13 18:15:47,358 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-07-13 18:15:48,298 ] 17 root - INFO - Initiate the data ingestion
[ 2025-07-13 18:15:50,221 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-13 18:15:50,221 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-13 18:15:50,221 ] 74 root - INFO - Exporting train and test file path.
[ 2025-07-13 18:15:50,282 ] 83 root - INFO - Exported train and test file path.
[ 2025-07-13 18:15:50,283 ] 19 root - INFO - Data Initiation completed
[ 2025-07-13 18:15:50,285 ] 22 root - INFO - Initiate the data validation
[ 2025-07-13 18:15:50,303 ] 34 root - INFO - Required number of columns:2
[ 2025-07-13 18:15:50,303 ] 35 root - INFO - Data frame has columns:31
[ 2025-07-13 18:15:50,303 ] 34 root - INFO - Required number of columns:2
[ 2025-07-13 18:15:50,303 ] 35 root - INFO - Data frame has columns:31
[ 2025-07-13 18:15:50,445 ] 25 root - INFO - Data Validation complete
