[ 2025-07-15 12:59:18,978 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-07-15 12:59:20,038 ] 22 root - INFO - Initiate the data ingestion
[ 2025-07-15 12:59:21,740 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-15 12:59:21,740 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-15 12:59:21,740 ] 74 root - INFO - Exporting train and test file path.
[ 2025-07-15 12:59:21,808 ] 83 root - INFO - Exported train and test file path.
[ 2025-07-15 12:59:21,808 ] 24 root - INFO - Data Initiation completed
[ 2025-07-15 12:59:21,811 ] 28 root - INFO - Initiate the data validation
[ 2025-07-15 12:59:21,838 ] 34 root - INFO - Required number of columns:2
[ 2025-07-15 12:59:21,839 ] 35 root - INFO - Data frame has columns:31
[ 2025-07-15 12:59:21,839 ] 34 root - INFO - Required number of columns:2
[ 2025-07-15 12:59:21,839 ] 35 root - INFO - Data frame has columns:31
[ 2025-07-15 12:59:21,996 ] 31 root - INFO - Data Validation complete
[ 2025-07-15 12:59:21,996 ] 33 root - INFO - data transformation started
[ 2025-07-15 12:59:21,996 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-15 12:59:21,996 ] 65 root - INFO - Starting data transformation
[ 2025-07-15 12:59:22,016 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-15 12:59:22,016 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-15 12:59:22,023 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 12:59:22,029 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 12:59:22,029 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 12:59:22,031 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 12:59:22,031 ] 37 root - INFO - data transformation completed
[ 2025-07-15 12:59:22,031 ] 38 root - INFO - Model Training started
[ 2025-07-15 12:59:22,031 ] 39 root - INFO - Model Training started
[ 2025-07-15 13:02:43,275 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 13:02:43,275 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 13:02:43,276 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 13:02:43,277 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 13:02:43,277 ] 110 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_15_2025_12_59_19/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909635495989441, precision_score=0.9903602232369355, recall_score=0.9915676115005587), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9878640776699029, precision_score=0.9874646178730287, recall_score=0.9882638607851072))
[ 2025-07-15 13:02:43,279 ] 44 root - INFO - Model Training artifact created
